frame_num,fitting_error,radius,center [x_cor; y_cor]
1,0.0929947,58.6957,[787.201; 302.594]
2,0.267238,58.9074,[786.659; 306.202]
3,0.0940669,58.8529,[785.631; 310.327]
4,0.158914,58.7263,[784.163; 307.846]
5,0.262702,59.0418,[779.069; 310.121]
6,0.298127,59.3801,[773.228; 316.813]
7,0.183109,59.3387,[769.921; 323.119]
8,0.215667,60.0816,[763.631; 321.962]
9,0.270194,60.0948,[757.19; 327.848]
10,0.245434,60.0819,[759.345; 333.91]
11,0.213322,60.672,[762.294; 348.842]
12,0.269626,60.6098,[758.761; 365.489]
13,0.207497,60.0062,[761.853; 370.744]
14,0.320606,60.6284,[765.342; 379.055]
15,0.502581,54.3904,[762.401; 402.541]
16,0.226513,61.056,[761.942; 426.444]
17,0.355851,60.878,[762.202; 437.092]
18,0.239207,61.1171,[766.782; 462.208]
19,0.119981,60.7113,[763.263; 471.617]
20,0.301499,60.6484,[763.69; 475.53]
21,0.277663,60.7244,[766.689; 484.229]
22,0.139538,60.7625,[767.477; 486.353]
23,0.157023,60.9227,[766.43; 485.887]
24,0.156215,61.0117,[766.53; 488.5]
25,0.209208,61.2694,[766.032; 484.467]
26,0.174323,61.0526,[767.932; 481.027]
27,0.0601661,61.4103,[771.855; 481.033]
28,0.155999,61.2206,[774.407; 474.891]
29,0.286241,60.9174,[777.237; 474.857]
30,0.192549,61.1149,[783.4; 477.061]
31,0.203547,60.8284,[789.375; 473.251]
32,0.273892,60.7195,[793.755; 477.731]
33,0.204034,61.1474,[799.749; 478.269]
34,0.288409,60.5182,[808.538; 477.198]
35,0.16258,60.4762,[811.951; 477.331]
36,0.264981,60.7305,[814.806; 476.172]
37,0.194205,60.5504,[822.555; 473.77]
38,0.218753,61.1143,[823.749; 476.615]
39,0.311614,60.8685,[825.508; 483.963]
40,0.203341,60.7069,[830.76; 486.545]
41,0.20158,60.942,[831.581; 485.104]
42,0.196592,61.1222,[830.967; 482.92]
43,0.183611,61.3717,[831.871; 482.785]
44,0.19102,61.819,[832.42; 477.145]
45,0.15808,62.4013,[829.919; 479.043]
46,0.244311,62.5888,[828.603; 474.337]
47,0.134357,63.9696,[825.027; 471.444]
48,0.350451,63.7357,[822.611; 482.245]
49,0.16331,63.2834,[825.817; 486.275]
50,0.365106,63.5368,[828.916; 491.03]
51,0.277731,63.3963,[835.76; 509.736]
52,0.24402,63.3708,[837.842; 508.718]
53,0.182944,63.6013,[836.753; 504.451]
54,0.28308,64.2242,[833.922; 518.943]
55,0.206708,63.9302,[829.167; 529.482]
56,0.117682,65.0842,[831.271; 521.945]
57,0.370384,64.7031,[835.143; 525.856]
58,0.239901,64.6557,[837.406; 533.444]
59,0.265132,64.849,[845.729; 523.672]
60,0.259962,64.4111,[853.424; 516.754]
61,0.199902,65.4527,[856.833; 512.757]
62,0.155897,65.6258,[860.689; 501.485]
63,0.129939,65.9553,[865.096; 494.92]
64,0.377424,61.9979,[869.901; 480.312]
65,0.583418,55.2369,[877.862; 441.67]
66,0.613548,54.309,[894.479; 394.322]
67,0.166636,60.4543,[910.243; 357.799]
68,0.267939,62.8743,[920.228; 338.288]
69,0.258749,63.1679,[923.461; 323.902]
70,0.167358,63.8212,[926.496; 309.407]
71,0.225203,62.938,[930.583; 302.236]
72,0.226555,62.4834,[933.378; 297.754]
73,0.227542,62.4539,[933.816; 295.582]
74,0.195933,64.1006,[931.554; 301.108]
75,0.238846,62.5644,[927.842; 305.535]
76,0.223049,63.326,[923.988; 307.568]
77,0.221145,64.031,[918.003; 314.441]
78,0.24157,62.5181,[913.989; 318.79]
79,0.268617,63.1428,[909.172; 311.059]
80,0.128027,63.7737,[907.907; 300.724]
81,0.191699,63.3334,[908.224; 289.225]
82,0.228808,62.2684,[903.926; 283.143]
83,0.260557,62.2012,[898.067; 284.119]
84,0.276431,62.4891,[890.526; 280.177]
85,0.303984,62.9309,[879.198; 277.246]
86,0.223179,62.7413,[870.293; 277.366]
87,0.230725,63.1138,[866.813; 267.882]
88,0.262711,63.4648,[864.594; 251.504]
89,0.295355,63.7415,[859.139; 252.602]
90,0.0850803,63.564,[855.589; 257.441]
91,0.224403,64.1107,[857.435; 251.526]
92,0.133022,63.9253,[859.544; 244.386]
93,0.157266,63.9714,[861.715; 247.065]
94,0.169115,64.2392,[861.695; 248.79]
95,0.328858,64.6016,[862.55; 256.966]
96,0.216408,64.309,[865.323; 263.791]
97,0.291451,64.371,[868.314; 269.105]
98,0.297699,64.3474,[872.687; 276.718]
99,0.292609,64.26,[878.673; 283.669]
100,0.306507,64.464,[879.99; 291.857]
101,0.271626,64.3637,[879.714; 301.114]
102,0.116725,64.3867,[883.641; 303.716]
103,0.0349776,64.4218,[885.915; 301.69]
104,0.237805,64.4254,[885.705; 303.721]
105,0.197192,64.4613,[885.388; 309.399]
106,0.0928557,64.6654,[885.29; 310.161]
107,0.149944,64.7019,[885.085; 310.458]
108,0.215478,64.6866,[887.477; 314.407]
109,0.041168,64.831,[890.842; 316.081]
110,0.215627,64.7425,[891.993; 317.614]
111,0.326097,64.9585,[894.499; 324.958]
112,0.300472,64.9725,[896.053; 335.397]
113,0.220552,64.995,[895.091; 342.489]
114,0.336311,65.3258,[896.936; 351.081]
115,0.195495,65.0743,[898.531; 360.986]
116,0.192591,64.8676,[900.872; 359.658]
117,0.110553,64.9458,[903.214; 356.041]
118,0.313395,65.1594,[899.98; 362.204]
119,0.216544,65.175,[893.741; 366.182]
120,0.318126,65.5348,[886.059; 368.303]
121,0.227673,65.6343,[877.699; 372.242]
122,0.203827,65.9251,[872.889; 370.662]
123,0.182756,66.2733,[866.761; 370.198]
124,0.131375,66.4578,[864.651; 368.298]
125,0.141257,66.7082,[862.703; 367.848]
126,0.149942,66.8752,[861.885; 365.741]
127,0.123452,67.1238,[862.181; 362.458]
128,0.138779,67.2622,[861.17; 362.231]
129,0.197251,67.9434,[862.263; 365.531]
130,0.263732,67.7418,[868.051; 371.871]
131,0.230612,67.0108,[874.859; 373.882]
132,0.291474,67.2595,[881.205; 377.726]
133,0.254091,66.4359,[888.763; 382.882]
134,0.184422,65.9836,[892.185; 380.024]
135,0.198562,66.5675,[889.377; 382.902]
136,0.196289,65.8373,[889.726; 385.132]
137,0.203288,65.6984,[892.769; 383.223]
138,0.133778,66.1081,[895.031; 381.003]
139,0.156396,66.4911,[892.652; 379.057]
140,0.183711,65.763,[893.396; 382.964]
141,0.160881,66.633,[895.458; 374.033]
142,0.163748,65.8263,[894.536; 364.164]
143,0.256897,65.3097,[890.042; 358.763]
144,0.292076,65.3167,[881.734; 353.579]
145,0.24909,65.3204,[873.533; 350.374]
146,0.299914,65.5997,[864.438; 350.03]
147,0.293782,65.5987,[854.389; 350.42]
148,0.316138,66.2638,[843.216; 359.873]
149,0.263444,65.4716,[834.637; 368.308]
150,0.232635,65.2384,[830.052; 374.332]
151,0.25557,64.9532,[828.969; 381.338]
152,0.340311,65.0337,[830.701; 391.264]
153,0.328918,65.0322,[831.567; 403.776]
154,0.352872,65.0336,[835.341; 420.058]
155,0.28863,64.2607,[840.322; 429.382]
156,0.245354,64.1593,[846.061; 431.913]
157,0.385491,64.403,[853.583; 439.311]
158,0.305951,64.0903,[860.408; 449.849]
159,0.229771,64.0149,[864.096; 452.904]
160,0.255402,63.9679,[872.418; 450.956]
161,0.119442,63.8628,[877.18; 446.791]
162,0.186733,64.3599,[880.277; 441.69]
163,0.212166,63.7005,[887.488; 430.139]
164,0.168138,64.5039,[895.647; 411.13]
165,0.176182,63.2433,[895.483; 401.284]
166,0.19871,63.8367,[893.887; 393.805]
